datetime,Flow_metersCubedPerSecond
1989-01-01,3.825
1989-01-02,2.583
1989-01-03,2.527
1989-01-04,2.444
1989-01-05,2.312
1989-01-06,4.235
1989-01-07,5.859
1989-01-08,5.859
1989-01-09,6.832
1989-01-10,8.35
1989-01-11,6.672
1989-01-12,6.024
1989-01-13,6.878
1989-01-14,6.199
1989-01-15,6.093
1989-01-16,6.738
1989-01-17,6.013
1989-01-18,4.466
1989-01-19,3.177
1989-01-20,2.738
1989-01-21,2.732
1989-01-22,2.7
1989-01-23,2.352
1989-01-24,2.298
1989-01-25,2.256
1989-01-26,2.261
1989-01-27,2.111
1989-01-28,2.125
1989-01-29,2.025
1989-01-30,2.044
1989-01-31,2.003
1989-02-01,1.927
1989-02-02,1.821
1989-02-03,1.836
1989-02-04,1.854
1989-02-05,1.978
1989-02-06,2.091
1989-02-07,2.054
1989-02-08,2.008
1989-02-09,1.872
1989-02-10,1.872
1989-02-11,1.851
1989-02-12,1.796
1989-02-13,1.799
1989-02-14,1.806
1989-02-15,1.773
1989-02-16,1.743
1989-02-17,1.781
1989-02-18,1.768
1989-02-19,1.726
1989-02-20,9.116
1989-02-21,13.634
1989-02-22,6.521
1989-02-23,3.783
1989-02-24,3.655
1989-02-25,3.783
1989-02-26,3.783
1989-02-27,3.783
1989-02-28,3.783
1989-03-01,3.787
1989-03-02,3.796
1989-03-03,3.783
1989-03-04,3.86
1989-03-05,5.521
1989-03-06,5.563
1989-03-07,3.783
1989-03-08,3.783
1989-03-09,2.958
1989-03-10,2.502
1989-03-11,2.526
1989-03-12,2.53
1989-03-13,2.532
1989-03-14,2.548
1989-03-15,2.596
1989-03-16,2.367
1989-03-17,2.4
1989-03-18,2.885
1989-03-19,2.892
1989-03-20,2.892
1989-03-21,2.885
1989-03-22,2.831
1989-03-23,2.842
1989-03-24,3.458
1989-03-25,4.261
1989-03-26,7.255
1989-03-27,6.759
1989-03-28,4.518
1989-03-29,3.967
1989-03-30,3.108
1989-03-31,2.397
1989-04-01,2.176
1989-04-02,2.102
1989-04-03,2.181
1989-04-04,1.98
1989-04-05,1.642
1989-04-06,1.493
1989-04-07,1.177
1989-04-08,0.991
1989-04-09,0.953
1989-04-10,0.945
1989-04-11,1.285
1989-04-12,1.343
1989-04-13,1.018
1989-04-14,1.094
1989-04-15,2.368
1989-04-16,3.783
1989-04-17,3.293
1989-04-18,1.583
1989-04-19,1.197
1989-04-20,1.778
1989-04-21,3.081
1989-04-22,4.701
1989-04-23,4.914
1989-04-24,3.942
1989-04-25,3.392
1989-04-26,5.173
1989-04-27,6.757
1989-04-28,6.209
1989-04-29,6.172
1989-04-30,4.783
1989-05-01,3.957
1989-05-02,2.113
1989-05-03,1.574
1989-05-04,1.871
1989-05-05,1.954
1989-05-06,1.845
1989-05-07,1.879
1989-05-08,2.004
1989-05-09,1.825
1989-05-10,1.788
1989-05-11,1.884
1989-05-12,2.041
1989-05-13,2.06
1989-05-14,1.993
1989-05-15,1.963
1989-05-16,2.075
1989-05-17,2.524
1989-05-18,2.386
1989-05-19,2.375
1989-05-20,2.377
1989-05-21,2.361
1989-05-22,2.384
1989-05-23,2.401
1989-05-24,2.456
1989-05-25,2.244
1989-05-26,2.492
1989-05-27,2.721
1989-05-28,2.684
1989-05-29,2.661
1989-05-30,2.43
1989-05-31,1.983
1989-06-01,1.831
1989-06-02,1.93
1989-06-03,2.13
1989-06-04,2.133
1989-06-05,2.002
1989-06-06,1.857
1989-06-07,1.736
1989-06-08,1.686
1989-06-09,1.824
1989-06-10,1.88
1989-06-11,1.848
1989-06-12,1.988
1989-06-13,2.115
1989-06-14,2.132
1989-06-15,2.04
1989-06-16,1.873
1989-06-17,1.982
1989-06-18,2.039
1989-06-19,2.212
1989-06-20,2.192
1989-06-21,2.114
1989-06-22,1.77
1989-06-23,1.305
1989-06-24,1.948
1989-06-25,2.271
1989-06-26,2.331
1989-06-27,2.264
1989-06-28,2.414
1989-06-29,2.441
1989-06-30,2.123
1989-07-01,2.138
1989-07-02,2.115
1989-07-03,2.075
1989-07-04,2.221
1989-07-05,2.521
1989-07-06,2.639
1989-07-07,2.715
1989-07-08,2.782
1989-07-09,2.772
1989-07-10,2.932
1989-07-11,2.622
1989-07-12,2.904
1989-07-13,3.089
1989-07-14,3.097
1989-07-15,3.134
1989-07-16,3.179
1989-07-17,3.13
1989-07-18,3.234
1989-07-19,3.243
1989-07-20,3.276
1989-07-21,3.179
1989-07-22,3.245
1989-07-23,2.98
1989-07-24,2.962
1989-07-25,3.17
1989-07-26,3.176
1989-07-27,2.911
1989-07-28,2.96
1989-07-29,3.035
1989-07-30,2.986
1989-07-31,2.955
1989-08-01,3.073
1989-08-02,3.108
1989-08-03,3.298
1989-08-04,3.485
1989-08-05,3.592
1989-08-06,3.521
1989-08-07,3.586
1989-08-08,3.72
1989-08-09,3.788
1989-08-10,3.902
1989-08-11,3.952
1989-08-12,3.671
1989-08-13,3.967
1989-08-14,3.738
1989-08-15,3.592
1989-08-16,3.444
1989-08-17,2.961
1989-08-18,3.03
1989-08-19,3.263
1989-08-20,3.263
1989-08-21,3.23
1989-08-22,3.341
1989-08-23,3.102
1989-08-24,3.732
1989-08-25,3.476
1989-08-26,3.407
1989-08-27,3.364
1989-08-28,3.166
1989-08-29,2.97
1989-08-30,2.796
1989-08-31,2.789
1989-09-01,2.725
1989-09-02,2.682
1989-09-03,2.664
1989-09-04,2.657
1989-09-05,2.913
1989-09-06,3.134
1989-09-07,2.883
1989-09-08,2.744
1989-09-09,2.779
1989-09-10,2.695
1989-09-11,2.764
1989-09-12,3.054
1989-09-13,3.107
1989-09-14,2.878
1989-09-15,2.292
1989-09-16,2.339
1989-09-17,2.597
1989-09-18,2.559
1989-09-19,2.443
1989-09-20,2.651
1989-09-21,2.736
1989-09-22,2.749
1989-09-23,2.711
1989-09-24,2.684
1989-09-25,2.71
1989-09-26,2.755
1989-09-27,2.494
1989-09-28,2.531
1989-09-29,2.933
1989-09-30,2.93
1989-10-01,3.503
1989-10-02,4.156
1989-10-03,4.141
1989-10-04,4.086
1989-10-05,4.156
1989-10-06,4.031
1989-10-07,3.967
1989-10-08,3.872
1989-10-09,3.543
1989-10-10,3.431
1989-10-11,3.215
1989-10-12,3.1
1989-10-13,3.323
1989-10-14,3.431
1989-10-15,3.431
1989-10-16,3.431
1989-10-17,3.547
1989-10-18,3.604
1989-10-19,3.681
1989-10-20,3.667
1989-10-21,3.652
1989-10-22,4.085
1989-10-23,4.297
1989-10-24,4.265
1989-10-25,4.072
1989-10-26,4.181
1989-10-27,3.555
1989-10-28,2.762
1989-10-29,2.741
1989-10-30,2.411
1989-10-31,2.122
1989-11-01,1.825
1989-11-02,1.179
1989-11-03,0.745
1989-11-04,0.742
1989-11-05,0.688
1989-11-06,0.636
1989-11-07,0.602
1989-11-08,0.597
1989-11-09,0.656
1989-11-10,0.954
1989-11-11,1.091
1989-11-12,1.347
1989-11-13,2.187
1989-11-14,2.672
1989-11-15,2.696
1989-11-16,2.579
1989-11-17,2.506
1989-11-18,2.64
1989-11-19,2.764
1989-11-20,2.79
